ticker,company,date,event_type,titles,executive,form,filing_url
CAG,Conagra Brands,2023-06-22,transition,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000143774923018119/cag20230622_8k.htm
CAG,Conagra Brands,2023-07-20,departure,PRESIDENT | CHIEF EXECUTIVE OFFICER | CEO,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000143774923020337/cag20230719_8k.htm
CAG,Conagra Brands,2023-07-31,transition,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000143774923021179/cag20230727_8k.htm
CAG,Conagra Brands,2023-09-19,appointment,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000143774923026333/cag20230918_8k.htm
CAG,Conagra Brands,2024-05-01,appointment,PRESIDENT | CHIEF OPERATING OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000155837024006398/tmb-20240425x8k.htm
CAG,Conagra Brands,2025-06-18,transition,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000002321725000029/tmb-20250617x8k.htm
CAG,Conagra Brands,2025-09-19,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000002321725000067/tmb-20250917x8k.htm
CAG,Conagra Brands,2025-10-06,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | CFO | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000002321725000089/tmb-20251002x8k.htm
CAG,Conagra Brands,2026-02-18,appointment,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000002321726000005/tmb-20260218x8k.htm
CAG,Conagra Brands,2026-04-13,departure,PRESIDENT | CHIEF EXECUTIVE OFFICER | CHIEF OPERATING OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/23217/000002321726000013/tmb-20260408x8k.htm
CHD,Church & Dwight,2021-08-17,departure,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/313927/000156459021044936/chd-8k_20210813.htm
CL,Colgate-Palmolive,2017-09-28,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000093041317003416/c89423_8k.htm
CL,Colgate-Palmolive,2018-05-04,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752318001000/a51801460.htm
CL,Colgate-Palmolive,2018-06-18,appointment,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752318001300/a51823994.htm
CL,Colgate-Palmolive,2018-07-11,appointment,CHIEF OPERATING OFFICER | COO | EXECUTIVE VICE PRESIDENT | PRESIDENT | CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752318001404/a51834540.htm
CL,Colgate-Palmolive,2018-09-18,transition,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000093041318002885/c92027_8k.htm
CL,Colgate-Palmolive,2019-02-11,appointment,COO | CHIEF EXECUTIVE OFFICER | CHIEF OPERATING OFFICER | PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752319000287/a51938699.htm
CL,Colgate-Palmolive,2019-02-21,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752319000415/a51944203.htm
CL,Colgate-Palmolive,2019-05-15,appointment,COO,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000093041319001684/c93639_8k.htm
CL,Colgate-Palmolive,2019-06-24,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000093041319001911/c93846_8k.htm
CL,Colgate-Palmolive,2020-03-11,appointment,COO | CHIEF FINANCIAL OFFICER | CHIEF EXECUTIVE OFFICER | PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752320000334/a52187721.htm
CL,Colgate-Palmolive,2020-10-30,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | CHIEF EXECUTIVE OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752320001399/a52317130.htm
CL,Colgate-Palmolive,2021-03-11,transition,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752321000329/a52394756.htm
CL,Colgate-Palmolive,2022-04-11,transition,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000002166522000006/cl-20220408.htm
CL,Colgate-Palmolive,2022-06-13,appointment,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000002166522000016/cl-20220613.htm
CL,Colgate-Palmolive,2023-01-30,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752323000114/a53293060.htm
CL,Colgate-Palmolive,2023-08-18,departure,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752323001351/a53541708.htm
CL,Colgate-Palmolive,2023-09-15,appointment,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000002166523000034/cl-20230915.htm
CL,Colgate-Palmolive,2024-02-15,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000115752324000262/a53897051.htm
CL,Colgate-Palmolive,2025-05-29,appointment,CHIEF OPERATING OFFICER | CEO | EXECUTIVE VICE PRESIDENT | PRESIDENT | CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000002166525000025/cl-20250529.htm
CL,Colgate-Palmolive,2026-03-12,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER | CHIEF OPERATING OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000002166526000008/cl-20260312.htm
CL,Colgate-Palmolive,2026-04-09,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21665/000002166526000015/cl-20260408.htm
CLX,Clorox,2017-01-27,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677417000284/clorox3203751-8k.htm
CLX,Clorox,2017-03-16,transition,PRESIDENT | CHIEF OPERATING OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677417000859/clorox3228461-8k.htm
CLX,Clorox,2017-11-01,transition,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677417003063/clorox3332791-8k.htm
CLX,Clorox,2018-01-22,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677418000173/clorox3371771-8k.htm
CLX,Clorox,2018-03-30,departure,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K/A,https://www.sec.gov/Archives/edgar/data/21076/000120677418001044/clorox3400611-8ka.htm
CLX,Clorox,2018-03-30,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677418001043/clorox3400611-8k.htm
CLX,Clorox,2018-07-26,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677418002200/clorox3452241-8k.htm
CLX,Clorox,2018-12-10,departure,PRESIDENT | CHIEF OPERATING OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677418003380/clorox3512521-8k.htm
CLX,Clorox,2020-02-14,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677420000462/clorox3722281-8k.htm
CLX,Clorox,2020-04-10,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677420001139/clorox3748411-8k.htm
CLX,Clorox,2020-05-05,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677420001519/clorox3757311-8k.htm
CLX,Clorox,2020-08-03,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677420002259/clorox3790291-8k.htm
CLX,Clorox,2020-08-12,appointment,PRESIDENT | CHIEF OPERATING OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677420002408/clorox3795161-8k.htm
CLX,Clorox,2020-11-19,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677420003081/clorox3832601-8k.htm
CLX,Clorox,2021-01-28,transition,PRESIDENT | CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677421000242/clorox3863281-8k.htm
CLX,Clorox,2021-04-08,transition,PRESIDENT | CHIEF ACCOUNTING OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677421001046/clorox3894571-8k.htm
CLX,Clorox,2021-11-17,appointment,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677421002755/clorox3984651-8k.htm
CLX,Clorox,2022-03-02,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677422000581/clx4029821-8k.htm
CLX,Clorox,2022-05-18,appointment,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677422001423/clx4063361-8k.htm
CLX,Clorox,2023-07-26,departure,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677423000820/clx4224661-8k.htm
CLX,Clorox,2025-01-28,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677425000035/clx4432551-8k.htm
CLX,Clorox,2025-05-12,appointment,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677425000357/clx4481611-8k.htm
CLX,Clorox,2025-10-30,transition,PRESIDENT | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/21076/000120677425000735/clx4554021-8k.htm
CPB,Campbell Soup,2017-02-09,transition,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673217000017/osheaform8-k.htm
CPB,Campbell Soup,2017-03-23,appointment,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673217000027/form8-kxfabiolaappointment.htm
CPB,Campbell Soup,2017-05-11,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673217000034/form8-kxpolomskicaoappoint.htm
CPB,Campbell Soup,2017-09-26,transition,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673217000056/form8-kxtraceyttravis.htm
CPB,Campbell Soup,2018-03-22,appointment,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673218000032/form8-k.htm
CPB,Campbell Soup,2018-04-05,appointment,PRESIDENT | CHIEF OPERATING OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673218000036/lmorgann.htm
CPB,Campbell Soup,2018-05-03,transition,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673218000041/maform8-k.htm
CPB,Campbell Soup,2018-05-18,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673218000047/dm_kmform8-k.htm
CPB,Campbell Soup,2018-11-26,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000095015918000521/campbell8k.htm
CPB,Campbell Soup,2021-01-28,appointment,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673221000027/cpb-20210128.htm
CPB,Campbell Soup,2022-12-01,departure,COO,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673222000150/cpb-20221130.htm
CPB,Campbell Soup,2023-01-25,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673223000026/cpb-20230125.htm
CPB,Campbell Soup,2024-12-03,appointment,PRESIDENT | CHIEF FINANCIAL OFFICER | CHIEF EXECUTIVE OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673224000198/cpb-20241201.htm
GIS,General Mills,2017-05-03,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER | CHIEF OPERATING OFFICER | EXECUTIVE VICE PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000129993317000448/htm_54888.htm
GIS,General Mills,2017-05-08,appointment,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000129993317000459/htm_54899.htm
GIS,General Mills,2017-06-22,transition,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000129993317000636/htm_55070.htm
GIS,General Mills,2017-11-08,appointment,PRESIDENT | CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000129993317001135/htm_55545.htm
GIS,General Mills,2017-12-29,transition,PRESIDENT,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000129993317001291/htm_55704.htm
GIS,General Mills,2018-06-27,transition,PRESIDENT,Unknown,8-K/A,https://www.sec.gov/Archives/edgar/data/40704/000129993318000539/htm_56264.htm
GIS,General Mills,2019-04-26,transition,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000156459019013359/gis-8k_20190423.htm
GIS,General Mills,2020-01-29,transition,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000156459020002456/gis-8k_20200127.htm
GIS,General Mills,2021-07-22,transition,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/40704/000156459021037515/gis-8k_20210716.htm
HELE,Helen of Troy,2017-03-07,appointment,CHIEF FINANCIAL OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/916789/000110465917014901/a17-7763_18k.htm
HELE,Helen of Troy,2017-08-17,departure,CHIEF FINANCIAL OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/916789/000110465917052396/a17-20689_18k.htm
HELE,Helen of Troy,2018-01-26,transition,CHIEF FINANCIAL OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/916789/000110465918004109/a18-3839_18k.htm
HELE,Helen of Troy,2018-08-27,departure,unspecified,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/916789/000110465918053673/a18-21224_18k.htm
HELE,Helen of Troy,2018-11-07,appointment,CHIEF EXECUTIVE OFFICER,Unknown,8-K,https://www.sec.gov/Archives/edgar/data/916789/000091678918000011/a8k-1172018.htm
